a: 0.0,b: 0.0,c: 4617576.0,d: -7003337.0,t1: 0.0,t2: 11620913.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x467568,d: -0x6adcc9,t1: 0x0,t2: 0xb15231,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 4574518.0,d: -7031538.0,t1: 0.0,t2: 11606056.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x45cd36,d: -0x6b4af2,t1: 0x0,t2: 0xb11828,t3: 0x0, t4: 0x0, t5: 0x0
a: -287.0,b: -538.0,c: 4531287.0,d: -7059475.0,t1: -825.0,t2: 11590762.0,t3: 2026069325.0, t4: -2437832406.0, t5: -9562378650.0
a: -0x11f,b: -0x21a,c: 0x452457,d: -0x6bb813,t1: -0x339,t2: 0xb0dc6a,t3: 0x78c35d4d, t4: -0x914e5ed6, t5: -0x239f6519a
a: 0.0,b: 0.0,c: 4487885.0,d: -7087145.0,t1: 0.0,t2: 11575030.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x447acd,d: -0x6c2429,t1: 0x0,t2: 0xb09ef6,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 4444315.0,d: -7114549.0,t1: 0.0,t2: 11558864.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x43d09b,d: -0x6c8f35,t1: 0x0,t2: 0xb05fd0,t3: 0x0, t4: 0x0, t5: 0x0
a: -100.0,b: 353.0,c: 4400577.0,d: -7141685.0,t1: 253.0,t2: 11542262.0,t3: 714168500.0, t4: 1553403681.0, t5: 2920192286.0
a: -0x64,b: 0x161,c: 0x4325c1,d: -0x6cf935,t1: 0xfd,t2: 0xb01ef6,t3: 0x2a9158b4, t4: 0x5c970f21, t5: 0xae0e991e
a: 0.0,b: 0.0,c: 4356674.0,d: -7168552.0,t1: 0.0,t2: 11525226.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x427a42,d: -0x6d6228,t1: 0x0,t2: 0xafdc6a,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 4312606.0,d: -7195149.0,t1: 0.0,t2: 11507755.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x41ce1e,d: -0x6dca0d,t1: 0x0,t2: 0xaf982b,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 4268377.0,d: -7221475.0,t1: 0.0,t2: 11489852.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x412159,d: -0x6e30e3,t1: 0x0,t2: 0xaf523c,t3: 0x0, t4: 0x0, t5: 0x0
a: 463.0,b: 410.0,c: 4223986.0,d: -7247530.0,t1: 873.0,t2: 11471516.0,t3: -3355606390.0, t4: 1731834260.0, t5: 10014633468.0
